sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
4,2023-09-01 12:00:00,0,-1.3074354405571422,-0.870691071498237,0.4907709204051682,0.5927727346904083
4,2023-09-01 12:15:00,0,-1.0492360908322111,1.0642547598403589,-1.647738415984762,0.9937559829892306
1,2023-09-01 12:30:00,2,-0.79103674110728,-0.594270238449866,-0.5954560441103519,1.600979094878759
1,2023-09-01 12:45:00,0,0.7151261322881498,0.8569391350540806,1.610942477561798,0.6899702379704878
1,2023-09-01 13:00:00,2,-0.6189038412906597,-0.4560598219256808,0.287103364558508,0.5035879288133466
4,2023-09-01 13:15:00,2,-1.5656347902820729,-0.14508638474626354,0.5586601056873882,0.41928041700768603
1,2023-09-01 13:30:00,1,1.1024251568755465,-1.388980133463932,-0.527566858828132,0.6833510531592998
2,2023-09-01 13:45:00,1,-1.4795683403737625,1.6516490300681466,1.305441143791808,0.9049195552601259
4,2023-09-01 14:00:00,1,-0.70497029119897,0.5114130937436171,-0.527566858828132,0.7122664394397534
1,2023-09-01 14:15:00,1,0.8872590321047705,-1.0434540921534687,-0.052342561852591965,-0.9470586792807416
1,2023-09-01 14:30:00,1,-1.0922693157863663,0.9260443433161734,0.8302168468162681,-0.3854731047736161
4,2023-09-01 14:45:00,2,0.6290596823798394,-0.4215072177946344,1.3393857364329183,1.2515558124776134
1,2023-09-01 15:00:00,2,0.28479388274659884,-0.28329680127044904,-1.511960045420322,-0.08482276308648905
3,2023-09-01 15:15:00,2,-0.9631696409239007,-1.1471119045466078,-1.647738415984762,-0.6808977742413844
3,2023-09-01 15:30:00,2,-0.8771031910155903,0.6150709061367563,0.287103364558508,-0.1963037704328165
4,2023-09-01 15:45:00,0,0.8442258071506153,0.6841761143988486,0.694438476251828,-0.11931219973425922
2,2023-09-01 16:00:00,0,1.5757906313712535,0.2695448648262925,1.237551958509588,-0.03361117533676984
2,2023-09-01 16:15:00,0,0.1126609829299781,0.47686048961257077,-1.749572193908092,-1.5288501863693886
3,2023-09-01 16:30:00,1,-1.6517012401903832,0.6496235102678026,0.4568263277640581,1.5337421123230048
4,2023-09-01 16:45:00,1,-1.2213689906488319,1.686201634199193,0.8302168468162681,-1.595390412629228
2,2023-09-01 17:00:00,1,0.3278271077007541,1.6170964259371001,-0.731234414674792,1.491936734568132
4,2023-09-01 17:15:00,2,1.231524831738012,1.306122988757683,-0.12023174713481202,0.8603271523215947
3,2023-09-01 17:30:00,0,0.1556942078841333,0.9951495515782661,-0.1881209324170319,-0.9129176207809288
3,2023-09-01 17:45:00,1,-0.6619370662448149,-1.388980133463932,-1.376181674855882,1.4807886338334995
4,2023-09-01 18:00:00,1,-0.7480035161531252,-1.1816645086776543,0.21921417927628792,0.9244287315457332
1,2023-09-01 18:15:00,1,-0.4037377165198837,1.5134386135439615,0.5247155130462782,1.648706901148905
3,2023-09-01 18:30:00,2,1.4897241814629432,-0.17963898887730992,-0.1881209324170319,0.03292905092306958
4,2023-09-01 18:45:00,1,0.4999600075173748,-1.2853223210707931,0.04949121607073813,1.2926644339365714
1,2023-09-01 19:00:00,0,1.4036577315546328,0.7187287185298951,0.8981060320984882,0.6725513305726242
2,2023-09-01 19:15:00,0,-0.6619370662448149,0.4423078854815244,1.4072749217151383,-0.9383492255818098
2,2023-09-01 19:30:00,2,-1.0922693157863663,0.4423078854815244,-1.240403304291442,0.23533675488624572
2,2023-09-01 19:45:00,0,-0.5758706163365045,1.4443334052818686,1.0678289953040379,-0.2739920974272887
3,2023-09-01 20:00:00,1,0.4569267825632196,-0.870691071498237,-1.681683008625872,-1.4905285900940888
3,2023-09-01 20:15:00,1,-0.5328373913823493,-0.594270238449866,1.4072749217151383,0.2963029307787686
3,2023-09-01 20:30:00,2,0.37086033265490925,1.202465176364544,-1.681683008625872,0.47397578623697806
2,2023-09-01 20:45:00,1,-0.6189038412906597,-1.078006696284515,-0.35784389562258206,-1.5706555641242617
2,2023-09-01 21:00:00,1,1.3606245066004776,0.8569391350540806,0.08343580871184816,-1.5553269256141415
4,2023-09-01 21:15:00,2,-0.14553836679495302,0.09678184417106095,0.4228817351229481,1.1184753599579345
4,2023-09-01 21:30:00,2,-0.8340699660614351,0.027676635908968187,-1.647738415984762,-0.7059810008943082
2,2023-09-01 21:45:00,0,-0.79103674110728,0.8914917391851269,1.101773587945148,-0.7989979663989003
4,2023-09-01 22:00:00,0,0.7151261322881498,1.3406755928887295,1.101773587945148,-1.7222000584856758
1,2023-09-01 22:15:00,0,-1.264402215602987,-0.24874419713940266,-0.3917884882636919,1.6995701107506673
3,2023-09-01 22:30:00,2,-1.4365351154196073,-0.6288228425809125,-0.45967767354591194,-0.6481502283334006
4,2023-09-01 22:45:00,0,-0.2746380416574181,0.6841761143988486,1.3733303290740282,0.3356696614979404
1,2023-09-01 23:00:00,1,-0.6189038412906597,1.6516490300681466,0.18526958663517787,1.054373780733796
2,2023-09-01 23:15:00,2,-1.2213689906488319,-1.561743154119164,-0.968846563162562,-0.4408652302988228
4,2023-09-01 23:30:00,2,-0.18857159174910823,-1.388980133463932,0.8641614394573781,-1.5703071859763045
1,2023-09-01 23:45:00,0,0.758159357242305,0.13133444830210733,-1.274347896932552,1.4250481301603353
4,2023-09-02 00:00:00,1,-1.2213689906488319,1.3406755928887295,-0.5954560441103519,1.1296234606925675
2,2023-09-02 00:15:00,1,-0.059471916886642655,0.16588705243315371,-1.444070860138102,-0.9853802755560417
3,2023-09-02 00:30:00,0,-0.016438691932487464,0.8223865309230342,0.4228817351229481,0.5126457606602354
4,2023-09-02 00:45:00,1,1.2745580566921673,1.306122988757683,-1.104624933727002,0.625171902450435
2,2023-09-02 01:00:00,0,-1.006202865878056,-1.5962957582502104,0.3889371424818381,0.8115542116075762
4,2023-09-02 01:15:00,1,-0.3607044915657285,0.2695448648262925,-1.138569526368112,-1.431304304941352
4,2023-09-02 01:30:00,0,1.661857081279563,0.407755281350478,-0.934901970521452,0.8533595893624492
1,2023-09-02 01:45:00,1,-0.9201364159697455,-0.6288228425809125,-0.22206552505814192,0.27540024190133217
